CustomerID,CustomerCode,FirstName,LastName,FullName,Gender,DOB,Age,AgeGroup,Email,Phone,City,State,Region,Pincode,RegistrationDate,CustomerSegment,PreferredCategory,IsPrimeMember,IsActive
C000001,CUST000001,Daksh,Bakshi,Daksh Bakshi,Male,1984-03-12,42,35-44,daksh.bakshi923@gmail.com,8196001338,Mysuru,Karnataka,South,570001,2024-07-17,New,Fashion,False,True
C000002,CUST000002,Agastya,Issac,Agastya Issac,Male,2002-07-25,23,18-24,agastya.issac37@gmail.com,4026542351,Siliguri,West Bengal,East,734001,2025-05-14,New,Electronics,True,True
C000003,CUST000003,Chakradhar,Rai,Chakradhar Rai,Male,1972-01-23,54,45-54,chakradhar.rai16@gmail.com,0781618495,Raipur,Chhattisgarh,Central,492001,2026-01-21,Regular,Grocery,False,True
C000004,CUST000004,Gopal,Boase,Gopal Boase,Male,1968-08-06,57,55+,gopal.boase114@gmail.com,1647525534,Guwahati,Assam,East,781001,2025-05-15,Regular,Fashion,True,True
C000005,CUST000005,Balendra,Garg,Balendra Garg,Male,2001-10-30,24,18-24,balendra.garg757@gmail.com,4835030564,Noida,Uttar Pradesh,North,201301,2023-07-18,Regular,Home & Kitchen,False,True
C000006,CUST000006,Bhavini,Kakar,Bhavini Kakar,Female,2004-01-29,22,18-24,bhavini.kakar653@gmail.com,7242388496,Ludhiana,Punjab,North,141001,2023-09-13,Premium,Grocery,True,True
C000007,CUST000007,Sudiksha,Pathak,Sudiksha Pathak,Female,1980-05-28,46,45-54,sudiksha.pathak91@gmail.com,0122691669,Howrah,West Bengal,East,711101,2024-01-29,Regular,Electronics,False,True
C000008,CUST000008,Vivaan,Wadhwa,Vivaan Wadhwa,Male,1982-08-03,43,35-44,vivaan.wadhwa373@gmail.com,5146270482,Coimbatore,Tamil Nadu,South,641001,2025-02-17,New,Sports,False,True
C000009,CUST000009,Zehaan,Cherian,Zehaan Cherian,Male,2008-01-12,18,18-24,zehaan.cherian185@gmail.com,2528809570,Bhubaneswar,Odisha,East,751001,2024-06-30,Regular,Sports,False,True
C000010,CUST000010,Daksh,Patil,Daksh Patil,Male,1986-05-29,40,35-44,daksh.patil342@gmail.com,1171822782,Kochi,Kerala,South,682001,2025-08-04,Regular,Sports,False,True
C000011,CUST000011,Kevin,Wable,Kevin Wable,Male,2006-10-04,19,18-24,kevin.wable975@gmail.com,4657871331,Nagpur,Maharashtra,West,440001,2023-03-07,Regular,Grocery,True,True
C000012,CUST000012,Pallavi,Bail,Pallavi Bail,Female,2005-07-07,20,18-24,pallavi.bail262@gmail.com,1031051834,Pune,Maharashtra,West,411001,2025-10-19,Regular,Sports,False,True
C000013,CUST000013,Watika,Kala,Watika Kala,Female,2002-03-05,24,18-24,watika.kala151@gmail.com,3763116566,Jabalpur,Madhya Pradesh,Central,482001,2026-04-12,Regular,Beauty,False,True
C000014,CUST000014,Vinaya,Bhagat,Vinaya Bhagat,Female,1972-03-06,54,45-54,vinaya.bhagat442@gmail.com,3338726247,Chennai,Tamil Nadu,South,600001,2023-04-07,Premium,Fashion,False,True
C000015,CUST000015,Jeet,Borra,Jeet Borra,Male,1995-08-21,30,25-34,jeet.borra891@gmail.com,1326773602,Noida,Uttar Pradesh,North,201301,2025-02-20,Regular,Grocery,False,False
C000016,CUST000016,Ranveer,Agate,Ranveer Agate,Male,1992-01-18,34,25-34,ranveer.agate358@gmail.com,8723430980,Cuttack,Odisha,East,753001,2023-08-23,Regular,Beauty,False,True
C000017,CUST000017,Naksh,Bhandari,Naksh Bhandari,Male,1968-11-22,57,55+,naksh.bhandari279@gmail.com,0812191361,Vadodara,Gujarat,West,390001,2025-06-09,New,Electronics,False,True
